post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance,scraping_date,ingestion_timestamp
2555,AAGR11,1.4617,1.5900,0.0000,0.0000,0.5533,3.3200,1.0108,12.1300,4.1482,26.7264,5.8042,91.8900,13.5400,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Indefinido,indefinido,98,30248.87,0,0,,AAGR11,,5923.1803997052,0,,,,2026-02-13,2026-02-13 20:07:10.248417
495,AAZQ11,0.1050,1.2200,1.4033,4.2100,1.4400,8.6400,1.4875,17.8500,-1.3730,8.6845,-0.1697,8.6200,2.7400,2026,1.3889,8.6400,0.0000,207757234.3800,0.0000,0.0000,3.8110,1.2703,7.6330,1.2722,14.6443,1.2204,Indefinido,indefinido,8.37,762503.26,207757234.38,0.9618,0.9687499999999999,AAZQ11,,1395.5653665385,30064,,1.20,10,2026-02-13,2026-02-13 20:07:10.248417
238,ABCP11,0.6500,0.7800,0.8167,2.4500,0.7650,4.5900,0.8133,9.7600,4.0189,12.4961,4.8303,83.6000,1.5900,2026,0.5866,110.8000,20.6709,521747901.1900,30.0164,21.3788,1.6437,0.5479,3.6538,0.6090,6.8194,0.5683,Shoppings,shoppings,81.7,64942.83,521747901.19,0.7207,0.7373646209386282,ABCP11,1,2694.819188391,14076,,0.1,,2026-02-13,2026-02-13 20:07:10.248417
177,AFHI11,1.0100,1.0500,1.0567,3.1700,1.0883,6.5300,1.1333,13.6000,0.9048,1.9643,1.9643,95.9100,1.0500,2026,1.0681,94.5600,-0.4317,452869788.7100,6.9414,0.6318,3.2082,1.0694,6.5158,1.0860,12.7912,1.0659,Papéis,papeis,97.06,798858.22,452869788.71,1.0215,1.0264382402707275,AFHI11,14,732.79336620237,37615,,1,,2026-02-13,2026-02-13 20:07:10.248417
553,AGRX11,0.1300,1.4400,1.4333,4.3000,1.4750,8.8500,1.5350,18.4200,2.5057,14.5381,3.9818,9.0000,2.8100,2026,1.1310,10.6100,0.0000,189942476.1400,0.0000,0.0000,3.3984,1.1328,6.8390,1.1398,10.0607,1.2576,Indefinido,indefinido,8.85,269312.22,189942476.14,0.8294,0.8341187558906692,AGRX11,0,1812.6259330162,18900,,1,10,2026-02-13,2026-02-13 20:07:10.248417
56,AIEC11,0.3400,0.6300,0.6400,1.9200,0.6567,3.9400,0.6967,8.3600,1.9249,3.8506,2.5670,54.0100,1.2700,2026,0.4440,76.5700,-18.1157,369465454.7200,-16.8016,-17.7521,1.2909,0.4303,2.5530,0.4255,5.9955,0.4996,Lajes Corporativas,lajes-corporativas,55.51,536668.04,369465454.72,0.7071,0.7249575551782683,AIEC11,2,1387.2450557394,13550,,0.75,20,2026-02-13,2026-02-13 20:07:10.248417
2722,AJFI11,0.0500,0.6100,0.6100,1.8300,0.5983,3.5900,0.7700,9.2400,1.6089,5.8764,2.2287,8.2100,1.2300,2026,,,,,,,,,,,,,Shoppings,shoppings,8.2,409789.74,352392703.05,0.739,,AJFI11,12,1076.9745928852,11189,0.60,0.10,,2026-02-13,2026-02-13 20:07:10.248417
216,ALMI11,4.5300,0.7200,0.7467,2.2400,0.6117,3.6700,0.5417,6.5000,6.2168,-5.7311,6.9816,626.6900,1.5300,2026,0.0000,2046.7799,-0.0517,214297860.7000,0.8982,-0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Lajes Corporativas,lajes-corporativas,645,12781.45,229298384.99,0.3113,0.3151291450536523,ALMI11,1,4852.0990859024,1886,,0.383,,2026-02-13,2026-02-13 20:07:10.248417
62,ALZC11,0.1070,1.3800,1.3033,3.9100,1.3383,8.0300,1.3833,16.6000,-0.6402,0.7310,0.7310,7.7600,1.3800,2026,,,,,,,,,,,,,Papéis,papeis,8.08,352122.83,185921831.3,0.8426,,ALZC11,14,2277.8975581711,9946,,1.30,20,2026-02-13,2026-02-13 20:07:10.248417
366,ALZR11,0.0851,0.7900,0.7867,2.3600,0.8017,4.8100,0.8358,10.0300,0.2791,1.0713,1.0713,10.7800,0.7900,2026,0.7857,10.6400,-90.0458,1300994832.0600,-89.1650,-89.9676,2.3556,0.7852,4.7832,0.7972,8.7268,0.7272,Misto,misto,10.83,2466840.65,1300994832.06,1.0113,1.0178571428571428,ALZR11,23,822.10143524868,178582,0.70,0.25,,2026-02-13,2026-02-13 20:07:10.248417
283,APTO11,0.0800,0.9300,1.0200,3.0600,1.0533,6.3200,1.1017,13.2200,1.7710,4.1752,2.7174,8.6200,1.9900,2026,0.9202,9.7800,-1.8072,45116014.4400,13.1496,-0.9036,2.7635,0.9212,5.5271,0.9212,11.1212,0.9268,Imóveis Residenciais,imoveis-residenciais,8.31,41886.3,45116014.44,0.8589,0.8496932515337424,APTO11,3,1181.7950409672,7938,,1.5,20,2026-02-13,2026-02-13 20:07:10.248417
2784,APXM11,0.4920,0.5900,0.5033,1.5100,0.4283,2.5700,0.4208,5.0500,2.2013,2.8043,2.8043,83.5700,0.5900,2026,,,,,,,,,,,,,Shoppings,shoppings,80,559330.55,359844384.7,0.6579,,APXM11,1,6085.5446022703,664,,,,2026-02-13,2026-02-13 20:07:10.248417
398,ARCT11,0.5000,0.0000,0.4330,1.2989,0.6359,3.8155,1.0462,12.5547,0.0000,,0.0000,,0.0000,2023,0.7628,99.7700,0.0401,369956160.0700,6.3085,0.8032,2.3120,0.7707,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,87.13,1053903.45,371534654.03,0.8696,0.8733086098025459,ARCT11,9,15.634888213165,43228,,1,20,2026-02-13,2026-02-13 20:07:10.248417
2744,AROA11,0.0073,0.6800,0.9367,2.8100,0.8383,5.0300,0.7617,9.1400,1.9048,4.7933,2.5977,1.0700,2.8100,2026,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,1.12,4994.78,159780518.57,1.1667,,AROA11,6,2239.3262919341,5286,,,,2026-02-13,2026-02-13 20:07:10.248417
369,ARRI11,0.0900,1.3500,1.3400,4.0200,1.3667,8.2000,1.3450,16.1400,-2.7737,3.1423,-1.4612,6.6600,2.6600,2026,1.0766,8.3600,-5.6433,173229387.5200,-89.5155,-4.6275,3.2194,1.0731,6.4097,1.0683,12.7689,1.0641,Papéis,papeis,6.62,298060.96,173229387.52,0.7931,0.791866028708134,ARRI11,1,1195.5467776113,23703,,,,2026-02-13,2026-02-13 20:07:10.248417
5995,ARTE11,0.0958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Misto,misto,0,,88242519.5,0,,ARTE11,,,738,,,,2026-02-13,2026-02-13 20:07:10.248417
2746,ARXD11,0.0900,1.1400,1.1667,3.5000,1.2133,7.2800,1.2892,15.4700,2.1935,8.0428,3.3586,7.9200,2.3000,2026,,,,,,,,,,,,,Papéis,papeis,7.85,68361.13,80485317.22,0.8661,,ARXD11,14,2042.6417944799,1973,,1.02,,2026-02-13,2026-02-13 20:07:10.248417
1737,ASMT11,0.0770,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.4568,-3.8264,-3.3867,6.8600,2.1900,2023,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,4.1,12484,169085584.25,0.4146,,ASMT11,3,52.588724641718,1,,1.20,20,2026-02-13,2026-02-13 20:07:10.248417
2748,ASRF11,256.3287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,,,,,,,,,,,,,Indefinido,indefinido,10974,35914.82,42816887.19,1.0252,,ASRF11,2,100.78485313394,89,,,,2026-02-13,2026-02-13 20:07:10.248417
393,ATSA11,0.1500,0.2600,0.5400,0.5400,0.8400,0.8400,0.2458,2.9500,0.0000,,0.0000,57.5100,0.2600,2026,0.2031,73.8500,-9.3197,129326022.2800,-17.4821,-9.1356,0.5918,0.5918,1.6726,0.2788,5.0927,0.4244,Shoppings,shoppings,58.5,640.11,129236210.78,0.7921,0.7921462423832093,ATSA11,1,2378.1195290761,293,,0.50,,2026-02-13,2026-02-13 20:07:10.248417
63,AURB11,0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Imóveis Comerciais - Outros,imoveis-comerciais-outros,81,333328.5,88000869.64,0.9994,,AURB11,2,4667.0641813175,20,,1.05,,2026-02-13,2026-02-13 20:07:10.248417
2988,AZIN11,1.4000,1.3800,1.5367,4.6100,1.7533,10.5200,1.7242,20.6900,-0.5859,0.7860,0.7860,101.8000,1.3800,2026,,,,,,,,,,,,,FIP-IE,fip-ie,101.55,662745.7,0,0,,AZIN11,,1201.1621109756,0,,1.25,20,2026-02-13,2026-02-13 20:07:10.248417
4322,AZPE11,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Papéis,papeis,0,,125497931.47,0,,AZPE11,9,,1,,,,2026-02-13,2026-02-13 20:07:10.248417
3478,AZPL11,0.0750,0.9700,0.9700,2.9100,0.9717,5.8300,1.1458,13.7500,-0.3881,1.5537,0.5781,7.7000,1.9400,2026,,,,,,,,,,,,,Serviços Financeiros Diversos,servicos-financeiros-diversos,7.71,256985.39,358228047.26,0.9068,,AZPL11,2,1747.8263955281,5610,,1.1,,2026-02-13,2026-02-13 20:07:10.248417
168,BBFI11B,634.2308,47.5100,0.0000,0.0000,7.9183,47.5100,5.8142,69.7700,4.2163,119.3947,53.7294,1335.0000,69.7700,2024,73.3410,864.7700,-60.0858,112420203.1600,-43.6136,-30.8123,83.9220,27.9740,87.9655,14.6609,90.0699,7.5058,Lajes Corporativas,lajes-corporativas,1257.1,182918.19,111645834.19,0.4075,1.4536813256704093,BBFI11B,1,43.395087164048,6989,,3.5,,2026-02-13,2026-02-13 20:07:10.248417
